,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6103,6103,Hemorrhage NOS,phecode-459.1-both_sexes.tsv,0,0,0,0,0,0,4.120408521014322e-07,1.0,True,0.2,500,
6104,6104,Circulatory disease NEC,phecode-459.9-both_sexes.tsv,11,5,3,13,15,2,3.18479305228847e-07,0.8666666666666667,True,0.2,500,
6107,6107,Acute pharyngitis,phecode-465.2-both_sexes.tsv,0,0,0,0,0,0,4.04980334148734e-07,1.0,True,0.2,500,
6108,6108,Acute laryngitis and tracheitis,phecode-465.4-both_sexes.tsv,0,0,0,0,0,0,5.269633224224348e-07,1.0,True,0.2,500,
6113,6113,Chronic laryngitis,phecode-473.1-both_sexes.tsv,1,0,0,0,1,0,3.690550297132456e-07,0.0,True,0.2,500,
6114,6114,Paralysis/spasm of vocal cords or larynx,phecode-473.3-both_sexes.tsv,0,0,0,0,0,0,4.2048699023495706e-07,1.0,True,0.2,500,
6115,6115,Voice disturbance,phecode-473.4-both_sexes.tsv,0,0,0,0,0,0,3.716020686794752e-07,1.0,True,0.2,500,
6117,6117,Acute tonsillitis,phecode-474.1-both_sexes.tsv,0,0,0,0,0,0,5.269628177036506e-07,1.0,True,0.2,500,
6118,6118,Chronic tonsillitis and adenoiditis,phecode-474.2-both_sexes.tsv,0,0,0,0,0,0,3.972227027229936e-07,1.0,True,0.2,500,
6125,6125,Bacterial pneumonia,phecode-480.1-both_sexes.tsv,1,1,0,1,1,0,4.284062316788848e-07,1.0,True,0.2,500,
6126,6126,Pneumococcal pneumonia,phecode-480.11-both_sexes.tsv,1,1,0,1,1,0,4.378037558517671e-07,1.0,True,0.2,500,
6127,6127,Pseudomonal pneumonia,phecode-480.12-both_sexes.tsv,0,0,0,0,0,0,3.9518719883561545e-07,1.0,True,0.2,500,
6128,6128,Viral pneumonia,phecode-480.2-both_sexes.tsv,0,0,0,0,0,0,4.377261663183923e-07,1.0,True,0.2,500,
6129,6129,Pneumonia due to fungus (mycoses),phecode-480.3-both_sexes.tsv,1,1,0,0,0,0,3.440516340667616e-07,1.0,True,0.2,500,
6130,6130,Bronchopneumonia and lung abscess,phecode-480.5-both_sexes.tsv,0,0,0,0,0,0,3.936427077327095e-07,1.0,True,0.2,500,
6134,6134,Asthma with exacerbation,phecode-495.2-both_sexes.tsv,0,0,0,0,0,0,4.3766277100555003e-07,1.0,True,0.2,500,
6136,6136,Emphysema,phecode-496.1-both_sexes.tsv,5,4,2,4,4,1,4.3310925280741333e-07,1.0,True,0.2,500,
6137,6137,Chronic bronchitis,phecode-496.2-both_sexes.tsv,10,8,0,5,6,0,5.271385523955414e-07,0.8333333333333334,True,0.2,500,
6138,6138,Obstructive chronic bronchitis,phecode-496.21-both_sexes.tsv,10,8,0,5,6,0,3.631062780513947e-07,0.8333333333333334,True,0.2,500,
